TOKEN_INDEX,SENT_NUM,WORD_NUM,TOKEN,POS,TAG,DEP,HEAD_TEXT,HEAD_INDEX,DEP_PAIRS_INPUT,DEP_PAIRS,Agreement,Apology,Third_Person,Contrast_Conjunction,Ask_Agency,By_The_Way,Can_You,Could_You,Disagreement,Filler_Pause,First_Person_Plural,First_Person_Single,For_Me,For_You,Formal_Title,Give_Agency,Goodbye,Gratitude,Hedges,Hello,Impersonal_Pronoun,Informal_Title,Let_Me_Know,Negation,Negative_Emotion,Please,Positive_Emotion,Reasoning,Reassurance,Second_Person,Swearing,Truth_Intensifier,Acknowledgement,Subjectivity,Affirmation,Conjunction_Start,Bare_Command,WH_Questions,YesNo_Questions,Adverb_Limiters
10,3,5,agree,VERB,VB,ccomp,concur,14,"['ccomp', 'concur', 14, 'agree', 10]","['ccomp', 'concur', 'agree']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3,6,",",PUNCT,",",punct,concur,14,"['punct', 'concur', 14, ',', 11]","['punct', 'concur', ',']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3,7,i,PRON,PRP,nsubj,concur,14,"['nsubj', 'concur', 14, 'i', 12]","['nsubj', 'concur', 'i']",1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,8,do,AUX,VBP,aux,concur,14,"['aux', 'concur', 14, 'do', 13]","['aux', 'concur', 'do']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3,9,concur,VERB,VB,ROOT,concur,14,"['ROOT', 'concur', 14, 'concur', 14]","['ROOT', 'concur', 'concur']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,10,.,PUNCT,.,punct,concur,14,"['punct', 'concur', 14, '.', 15]","['punct', 'concur', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,1,i,PRON,PRP,nsubj,believe,17,"['nsubj', 'believe', 17, 'i', 16]","['nsubj', 'believe', 'i']",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,4,2,believe,VERB,VBP,ROOT,believe,17,"['ROOT', 'believe', 17, 'believe', 17]","['ROOT', 'believe', 'believe']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,3,.,PUNCT,.,punct,believe,17,"['punct', 'believe', 17, '.', 18]","['punct', 'believe', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,1,negate,INTJ,UH,ROOT,negate,19,"['ROOT', 'negate', 19, 'negate', 19]","['ROOT', 'negate', 'negate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,2,.,PUNCT,.,punct,negate,19,"['punct', 'negate', 19, '.', 20]","['punct', 'negate', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,1,sorry,INTJ,UH,ROOT,sorry,21,"['ROOT', 'sorry', 21, 'sorry', 21]","['ROOT', 'sorry', 'sorry']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,2,.,PUNCT,.,punct,sorry,21,"['punct', 'sorry', 21, '.', 22]","['punct', 'sorry', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7,1,what,PRON,WP,attr,was,24,"['attr', 'was', 24, 'what', 23]","['attr', 'was', 'what']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,7,2,was,AUX,VBD,ROOT,was,24,"['ROOT', 'was', 24, 'was', 24]","['ROOT', 'was', 'was']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,3,the,DET,DT,det,question,26,"['det', 'question', 26, 'the', 25]","['det', 'question', 'the']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,4,question,NOUN,NN,nsubj,was,24,"['nsubj', 'was', 24, 'question', 26]","['nsubj', 'was', 'question']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,5,?,PUNCT,.,punct,was,24,"['punct', 'was', 24, '?', 27]","['punct', 'was', '?']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8,1,is,AUX,VBZ,ROOT,is,28,"['ROOT', 'is', 28, 'is', 28]","['ROOT', 'is', 'is']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,8,2,it,PRON,PRP,nsubj,is,28,"['nsubj', 'is', 28, 'it', 29]","['nsubj', 'is', 'it']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,8,3,random,ADJ,JJ,acomp,is,28,"['acomp', 'is', 28, 'random', 30]","['acomp', 'is', 'random']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,8,4,?,PUNCT,.,punct,is,28,"['punct', 'is', 28, '?', 31]","['punct', 'is', '?']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,1,but,CCONJ,CC,cc,understand,36,"['cc', 'understand', 36, 'but', 32]","['cc', 'understand', 'but']",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,9,2,i,PRON,PRP,nsubj,understand,36,"['nsubj', 'understand', 36, 'i', 33]","['nsubj', 'understand', 'i']",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
34,9,3,do,AUX,VBP,aux,understand,36,"['aux', 'understand', 36, 'do', 34]","['aux', 'understand', 'do']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9,4,not,PART,RB,neg,understand,36,"['neg', 'understand', 36, 'not', 35]","['neg', 'understand', 'not']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,9,5,understand,VERB,VB,ROOT,understand,36,"['ROOT', 'understand', 36, 'understand', 36]","['ROOT', 'understand', 'understand']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,9,6,why,SCONJ,WRB,advmod,is,39,"['advmod', 'is', 39, 'why', 37]","['advmod', 'is', 'why']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,9,7,this,PRON,DT,nsubj,is,39,"['nsubj', 'is', 39, 'this', 38]","['nsubj', 'is', 'this']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,9,8,is,AUX,VBZ,ccomp,understand,36,"['ccomp', 'understand', 36, 'is', 39]","['ccomp', 'understand', 'is']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,9,an,DET,DT,det,issue,41,"['det', 'issue', 41, 'an', 40]","['det', 'issue', 'an']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,9,10,issue,NOUN,NN,attr,is,39,"['attr', 'is', 39, 'issue', 41]","['attr', 'is', 'issue']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9,11,.,PUNCT,.,punct,understand,36,"['punct', 'understand', 36, '.', 42]","['punct', 'understand', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,10,1,i,PRON,PRP,nsubj,hate,45,"['nsubj', 'hate', 45, 'i', 43]","['nsubj', 'hate', 'i']",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,10,2,fucking,AUX,UH,aux,hate,45,"['aux', 'hate', 45, 'fucking', 44]","['aux', 'hate', 'fucking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,10,3,hate,VERB,VBP,ROOT,hate,45,"['ROOT', 'hate', 45, 'hate', 45]","['ROOT', 'hate', 'hate']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,10,4,this,PRON,DT,dobj,hate,45,"['dobj', 'hate', 45, 'this', 46]","['dobj', 'hate', 'this']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,10,5,!,PUNCT,.,punct,hate,45,"['punct', 'hate', 45, '!', 47]","['punct', 'hate', '!']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,11,1,i,PRON,PRP,nsubj,disagree,49,"['nsubj', 'disagree', 49, 'i', 48]","['nsubj', 'disagree', 'i']",0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,2,disagree,VERB,VBP,ROOT,disagree,49,"['ROOT', 'disagree', 49, 'disagree', 49]","['ROOT', 'disagree', 'disagree']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,11,3,so,ADV,RB,advmod,much,51,"['advmod', 'much', 51, 'so', 50]","['advmod', 'much', 'so']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,11,4,much,ADV,RB,advmod,disagree,49,"['advmod', 'disagree', 49, 'much', 51]","['advmod', 'disagree', 'much']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,11,5,.,PUNCT,.,punct,disagree,49,"['punct', 'disagree', 49, '.', 52]","['punct', 'disagree', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,12,1,not,PART,RB,neg,great,54,"['neg', 'great', 54, 'not', 53]","['neg', 'great', 'not']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,12,2,great,ADJ,JJ,ROOT,great,54,"['ROOT', 'great', 54, 'great', 54]","['ROOT', 'great', 'great']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,12,3,.,PUNCT,.,punct,great,54,"['punct', 'great', 54, '.', 55]","['punct', 'great', '.']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,13,1,this,PRON,DT,nsubj,is,57,"['nsubj', 'is', 57, 'this', 56]","['nsubj', 'is', 'this']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,13,2,is,AUX,VBZ,ROOT,is,57,"['ROOT', 'is', 57, 'is', 57]","['ROOT', 'is', 'is']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,13,3,terribly,ADV,RB,advmod,annoying,59,"['advmod', 'annoying', 59, 'terribly', 58]","['advmod', 'annoying', 'terribly']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,13,4,annoying,ADJ,JJ,acomp,is,57,"['acomp', 'is', 57, 'annoying', 59]","['acomp', 'is', 'annoying']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,13,5,!,PUNCT,.,punct,is,57,"['punct', 'is', 57, '!', 60]","['punct', 'is', '!']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
